Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),size
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,190,21.0,32,10.0,52,1.0,90,30,1040,43,35,12,2,8,7,24,10,2,30,20,161.0
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720,360,40.0,62,15.0,75,1.5,115,38,1470,61,51,17,4,14,14,39,8,25,30,25,270.0
Beef & Pork,McDouble,5.2 oz (147 g),380,150,17.0,26,8.0,40,1.0,75,25,840,35,34,11,2,7,7,22,6,2,20,20,147.0
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,200,22.0,34,10.0,49,1.0,90,30,1110,46,35,12,2,7,7,27,6,10,20,20,161.0
Beef & Pork,Daily Double,6.7 oz (190 g),430,200,22.0,35,9.0,44,1.0,80,27,760,32,34,11,2,8,7,22,8,8,20,20,190.0
Beef & Pork,Jalape?o Double,5.6 oz (159 g),430,210,23.0,36,9.0,44,1.0,80,27,1030,43,35,12,2,7,6,22,6,8,20,20,159.0
Beef & Pork,McRib,7.3 oz (208 g),500,240,26.0,40,10.0,48,0.0,70,23,980,41,44,15,3,10,11,22,2,2,15,20,208.0
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,200,22.0,33,3.5,18,0.0,45,16,990,41,55,18,3,13,10,24,4,6,15,20,213.0
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,80,9.0,13,2.0,9,0.0,65,22,820,34,42,14,3,13,8,28,4,8,15,20,200.0
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,300,33.0,51,9.0,44,0.0,85,29,1410,59,58,19,3,14,11,36,8,20,30,20,249.0
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,180,20.0,31,7.0,36,0.0,105,35,1250,52,44,15,3,13,9,40,8,20,30,20,235.0
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,250,28.0,43,6.0,31,0.0,70,24,1400,58,57,19,3,13,11,32,4,20,15,20,230.0
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,130,15.0,23,4.5,22,0.0,90,30,1230,51,43,14,3,13,9,36,4,20,15,20,217.0
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,340,38.0,59,10.0,51,0.5,90,31,1720,72,65,22,4,15,16,36,8,25,30,15,284.0
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,230,25.0,39,8.0,42,0.0,110,37,1560,65,51,17,4,15,14,40,8,30,30,15,270.0
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,170,19.0,29,3.0,15,0.0,45,14,910,38,43,14,2,7,7,21,4,2,15,15,160.0
Chicken & Fish,McChicken,5.1 oz (143 g),360,140,16.0,25,3.0,15,0.0,35,11,800,33,40,13,2,7,5,14,0,2,10,15,143.0
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,220,24.0,38,7.0,35,0.0,65,21,1260,53,43,14,2,8,6,22,4,10,20,15,171.0
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,190,21.0,32,5.0,25,0.0,50,17,1260,53,41,14,2,7,6,20,2,10,15,15,161.0
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,150,16.0,25,3.0,16,0.0,35,11,990,41,40,13,2,7,5,14,2,2,15,15,148.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,280,32.0,49,9.0,45,0.5,80,26,1540,64,56,19,3,13,7,32,60,20,20,20,316.0
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,170,19.0,28,7.0,36,0.0,95,32,1370,57,42,14,3,13,6,36,60,25,20,20,302.0
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,280,31.0,47,8.0,40,0.5,65,21,1340,56,56,19,3,14,8,27,60,15,20,20,310.0
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,160,18.0,27,6.0,31,0.5,80,27,1170,49,42,14,3,14,6,30,60,15,15,20,297.0
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,300,33.0,51,8.0,40,0.5,60,21,1480,62,68,23,5,19,12,27,60,15,20,20,314.0
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,180,20.0,31,6.0,32,0.0,80,27,1320,55,55,18,5,20,10,31,70,15,20,20,318.0
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,200,23.0,35,4.5,23,0.0,50,16,1260,52,61,20,3,13,14,23,60,15,8,20,304.0
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,90,10.0,15,3.0,14,0.0,65,22,1090,45,47,16,3,13,12,27,60,15,8,20,291.0
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,110,12.0,18,2.0,10,0.0,25,9,360,15,12,4,1,2,0,9,0,2,0,2,65.0
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,160,18.0,27,3.0,15,0.0,40,13,540,22,18,6,1,4,0,13,0,2,2,4,97.0
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,270,30.0,45,5.0,25,0.0,65,22,900,37,30,10,2,6,0,22,0,4,2,6,162.0
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,530,59.0,91,10.0,50,0.0,135,44,1800,75,59,20,3,12,0,44,0,8,4,10,323.0
